Frame,RMSD of the whole system (alignment on whole system),RMSD of all cores (alignement on cores),"RMSD of CTT A (beta chain, alignment on CTT A)","RMSD of CTT B (beta chain, alignment on CTT B)","RMSD of CTT C (beta chain, alignment on CTT C)",RMSD of all CTTs (alignment on all CTTs),RMSD of R2 (alignment on R2)
115.0,2.111877456962775,2.367642317416522,-1.0,-1.0,-1.0,-1.0,2.8970724921819797
116.0,2.0630699434421125,2.3711940246537426,-1.0,-1.0,-1.0,-1.0,2.8078194998637427
117.0,2.0614786079201095,2.3862945950791574,-1.0,-1.0,-1.0,-1.0,2.535704164806975
118.0,2.030860028781575,2.3341785406111075,-1.0,-1.0,-1.0,-1.0,2.6242497038048818
119.0,2.244053610670011,2.44391035629065,-1.0,-1.0,-1.0,-1.0,3.403292598311485
120.0,2.3070998531993703,2.4755075299119924,-1.0,-1.0,-1.0,-1.0,3.350756658779131
121.0,2.19207605469937,2.4299584741690703,-1.0,-1.0,-1.0,-1.0,3.2629402063516872
122.0,2.183377523167236,2.417356088911966,-1.0,-1.0,-1.0,-1.0,3.8114109142197794
123.0,2.2099817306050094,2.455350811450141,-1.0,-1.0,-1.0,-1.0,3.360315181818596
124.0,2.0646766924447024,2.420245599636139,-1.0,-1.0,-1.0,-1.0,3.4435861562048657
125.0,2.1468969846242025,2.4507322704589334,-1.0,-1.0,-1.0,-1.0,3.8290532023930766
126.0,2.0514420944594014,2.3467316679632755,-1.0,-1.0,-1.0,-1.0,3.2891491764046936
127.0,2.1809183986916167,2.4745665981312315,-1.0,-1.0,-1.0,-1.0,3.34510408106772
128.0,2.157416091394182,2.412123074362475,-1.0,-1.0,-1.0,-1.0,3.4510454074101564
129.0,2.21601019449231,2.4397396182599156,-1.0,-1.0,-1.0,-1.0,3.4353070077324537
130.0,2.0348439511338414,2.3801197521580844,-1.0,-1.0,-1.0,-1.0,3.765497391062973
131.0,2.022355214987783,2.3427805366530112,-1.0,-1.0,-1.0,-1.0,3.452886974777866
132.0,1.9805331999403426,2.3299321293018216,-1.0,-1.0,-1.0,-1.0,3.4063299997591248
133.0,2.008605564860721,2.332838693939244,-1.0,-1.0,-1.0,-1.0,3.390872304537034
134.0,2.13917866353941,2.442921665666512,-1.0,-1.0,-1.0,-1.0,3.308730176720792
135.0,2.1427247879985503,2.3822460748160017,-1.0,-1.0,-1.0,-1.0,3.4997504960704946
136.0,2.213562520921254,2.4728723306078657,-1.0,-1.0,-1.0,-1.0,3.5847571141259356
137.0,2.195620224672211,2.4546152537319603,-1.0,-1.0,-1.0,-1.0,3.57669864563004
138.0,1.9253044125794543,2.2912502315098617,-1.0,-1.0,-1.0,-1.0,3.309522780770368
139.0,2.195569680237971,2.407620379013635,-1.0,-1.0,-1.0,-1.0,3.5964055183808177
140.0,2.3732521315034596,2.547850985505442,-1.0,-1.0,-1.0,-1.0,3.9778912655020986
141.0,2.1971247924867354,2.4196184561707983,-1.0,-1.0,-1.0,-1.0,4.163606166064604
142.0,2.35282375396373,2.5118100012817806,-1.0,-1.0,-1.0,-1.0,4.281056577474517
143.0,2.4024403749694265,2.4940055944442854,-1.0,-1.0,-1.0,-1.0,4.419776425293176
144.0,2.3197866655890387,2.4460095372038992,-1.0,-1.0,-1.0,-1.0,4.231219760976729
145.0,2.2648880360652077,2.443718177204231,-1.0,-1.0,-1.0,-1.0,4.216068272065302
146.0,2.4859550110705366,2.5169724735925714,-1.0,-1.0,-1.0,-1.0,4.143174927837261
147.0,2.2743656967152757,2.4452453786332033,-1.0,-1.0,-1.0,-1.0,4.745014776669171
148.0,2.231375418018692,2.404850714047558,-1.0,-1.0,-1.0,-1.0,4.9996880021818235
149.0,2.363361939738841,2.486249650163485,-1.0,-1.0,-1.0,-1.0,4.618392408441787
150.0,2.233427988007434,2.4545699689350275,-1.0,-1.0,-1.0,-1.0,4.05906356537411
151.0,2.3820996311941207,2.502508860101273,-1.0,-1.0,-1.0,-1.0,4.825467253959026
152.0,2.2208416963515516,2.4314046644795178,-1.0,-1.0,-1.0,-1.0,4.186777465555919
153.0,2.1879939068027245,2.4211086311794308,-1.0,-1.0,-1.0,-1.0,4.563470618053006
154.0,2.0582769864381936,2.3740691955979583,-1.0,-1.0,-1.0,-1.0,4.619758419955922
155.0,2.154866445223768,2.401198922699284,-1.0,-1.0,-1.0,-1.0,5.131700617738005
156.0,2.3970102566334144,2.5326125695083412,-1.0,-1.0,-1.0,-1.0,4.468715091278858
157.0,2.4370002235039316,2.5537189542187386,-1.0,-1.0,-1.0,-1.0,4.866190285724267
158.0,2.3584963562066594,2.546953559694796,-1.0,-1.0,-1.0,-1.0,4.643367103983594
159.0,2.736349985537368,2.744725970091507,-1.0,-1.0,-1.0,-1.0,4.76568234767157
160.0,2.885197496809042,2.848691297304341,-1.0,-1.0,-1.0,-1.0,4.726942031286192
161.0,2.6772702410270863,2.777423591273688,-1.0,-1.0,-1.0,-1.0,4.009860352509509
162.0,2.642861344640876,2.732369621194481,-1.0,-1.0,-1.0,-1.0,4.265062885059333
163.0,2.6243900930255464,2.6852577514429767,-1.0,-1.0,-1.0,-1.0,4.295971660198962
164.0,2.5368945943138184,2.65171734041596,-1.0,-1.0,-1.0,-1.0,4.34954783287066
165.0,2.530394515996022,2.719222235342179,-1.0,-1.0,-1.0,-1.0,4.304473316627191
166.0,2.516987367947682,2.6518152568940008,-1.0,-1.0,-1.0,-1.0,4.104201091289496
167.0,2.5580802930793354,2.6497573373761476,-1.0,-1.0,-1.0,-1.0,4.431110642776954
168.0,2.5232271333163654,2.6160983221861787,-1.0,-1.0,-1.0,-1.0,4.386280507338061
169.0,2.6555893448734795,2.7325677202518714,-1.0,-1.0,-1.0,-1.0,4.050791006465453
170.0,2.5668327865025176,2.658047894464055,-1.0,-1.0,-1.0,-1.0,4.181160581407748
171.0,2.5057770663304475,2.6316144717237124,-1.0,-1.0,-1.0,-1.0,4.283430322871967
172.0,2.6399067222724284,2.7817082873204813,-1.0,-1.0,-1.0,-1.0,3.7704223815320117
173.0,2.452325203727801,2.6557184345593554,-1.0,-1.0,-1.0,-1.0,3.880478709474767
174.0,2.4814311846472683,2.634602435724192,-1.0,-1.0,-1.0,-1.0,4.065633037105327
175.0,2.606331943430146,2.730683500764385,-1.0,-1.0,-1.0,-1.0,4.609613275747432
176.0,2.6257261463473465,2.770371764341863,-1.0,-1.0,-1.0,-1.0,4.1477813305555005
177.0,2.4424808908654847,2.6255234535478564,-1.0,-1.0,-1.0,-1.0,4.657888292612528
178.0,2.3985274819685696,2.6032604659033662,-1.0,-1.0,-1.0,-1.0,4.559739679541793
179.0,2.4491209258050346,2.605892146016156,-1.0,-1.0,-1.0,-1.0,4.563121832668223
180.0,2.561371145706483,2.6728528641304736,-1.0,-1.0,-1.0,-1.0,5.144791317138628
