Frame,RMSD of the whole system (alignment on whole system),RMSD of all cores (alignement on cores),"RMSD of CTT A (beta chain, alignment on CTT A)","RMSD of CTT B (beta chain, alignment on CTT B)","RMSD of CTT C (beta chain, alignment on CTT C)",RMSD of all CTTs (alignment on all CTTs),RMSD of R2 (alignment on R2)
187.0,2.332037936089917,2.5299760701956613,-1.0,-1.0,-1.0,-1.0,6.577167765663231
188.0,2.340643989171808,2.535545907818781,-1.0,-1.0,-1.0,-1.0,6.787219852532973
189.0,2.250821296131821,2.4864504077781255,-1.0,-1.0,-1.0,-1.0,6.156861910631955
190.0,2.353491245844288,2.5488524710770113,-1.0,-1.0,-1.0,-1.0,5.814856609090133
191.0,2.561192859486224,2.6628596489110987,-1.0,-1.0,-1.0,-1.0,6.742182908566286
192.0,2.4347407642360723,2.5891696863448193,-1.0,-1.0,-1.0,-1.0,6.784681200608506
193.0,2.44710528725025,2.5506041343578936,-1.0,-1.0,-1.0,-1.0,6.93451409259821
194.0,2.3857780321510194,2.5485245587882757,-1.0,-1.0,-1.0,-1.0,6.591206222909748
195.0,2.3495283655575845,2.5509826615130597,-1.0,-1.0,-1.0,-1.0,6.262038088789381
196.0,2.287451907994166,2.478534111260628,-1.0,-1.0,-1.0,-1.0,6.589888782813542
197.0,2.1737494078499626,2.4201193244039985,-1.0,-1.0,-1.0,-1.0,6.401696263227498
198.0,2.1323047327653555,2.368207891633747,-1.0,-1.0,-1.0,-1.0,6.368040047853204
199.0,2.1680479160490265,2.456265315750518,-1.0,-1.0,-1.0,-1.0,5.921941140284123
200.0,2.3259816503592976,2.5012957431627068,-1.0,-1.0,-1.0,-1.0,6.640248738899884
201.0,2.300075615558366,2.56084673512177,-1.0,-1.0,-1.0,-1.0,6.229436189250852
202.0,2.4862521894632503,2.7317592123297016,-1.0,-1.0,-1.0,-1.0,5.8484932574884
203.0,2.130138328092633,2.4606041798381453,-1.0,-1.0,-1.0,-1.0,5.7334043192742845
204.0,2.186424002145624,2.4488205325490506,-1.0,-1.0,-1.0,-1.0,6.367803747887368
205.0,2.2122854382208645,2.4097643275096887,-1.0,-1.0,-1.0,-1.0,6.593401899183519
206.0,2.4939682277180726,2.592943196500934,-1.0,-1.0,-1.0,-1.0,7.2665036131139
207.0,2.3195082327270806,2.518044247800975,-1.0,-1.0,-1.0,-1.0,7.034984020153976
208.0,2.570327469710177,2.636730488578885,-1.0,-1.0,-1.0,-1.0,7.436513506554727
209.0,2.2586450484509117,2.490938231909528,-1.0,-1.0,-1.0,-1.0,7.286965675825608
210.0,2.2999551672227354,2.483847417367381,-1.0,-1.0,-1.0,-1.0,7.598474502934197
211.0,2.0954857796842723,2.4094503804485017,-1.0,-1.0,-1.0,-1.0,6.796084629603978
212.0,2.3256328681858704,2.5473122858819943,-1.0,-1.0,-1.0,-1.0,6.642060602905509
213.0,2.2481383386789195,2.4300504136155032,-1.0,-1.0,-1.0,-1.0,6.9881271878401865
214.0,2.4036621507713125,2.5724080622389254,-1.0,-1.0,-1.0,-1.0,6.845143593881962
215.0,2.3082040577125955,2.514906234741219,-1.0,-1.0,-1.0,-1.0,6.922087256717256
216.0,2.284583086263905,2.467830655873311,-1.0,-1.0,-1.0,-1.0,7.22740397184254
217.0,2.113129793979822,2.3536707142621323,-1.0,-1.0,-1.0,-1.0,7.042964062787513
218.0,2.308686767955356,2.5036519170648868,-1.0,-1.0,-1.0,-1.0,7.210869744191391
219.0,2.4499402053612567,2.6116838441906656,-1.0,-1.0,-1.0,-1.0,6.783965155148614
220.0,2.425800030086975,2.5749455338111296,-1.0,-1.0,-1.0,-1.0,7.576515303437259
221.0,2.215821951518537,2.5041931685358474,-1.0,-1.0,-1.0,-1.0,6.359822889506317
222.0,2.345541871600602,2.5814115133105,-1.0,-1.0,-1.0,-1.0,6.626678461397195
223.0,2.316633598697767,2.5860502820446727,-1.0,-1.0,-1.0,-1.0,6.638181107429149
224.0,2.4416598593776655,2.589372200064781,-1.0,-1.0,-1.0,-1.0,7.065315504964929
225.0,2.2499162631899576,2.4618902580269246,-1.0,-1.0,-1.0,-1.0,6.722705702209916
226.0,2.2454525118685678,2.503759062406853,-1.0,-1.0,-1.0,-1.0,6.485897598658362
227.0,2.2036647682226724,2.4483085889225795,-1.0,-1.0,-1.0,-1.0,6.241884551691448
228.0,2.352167556287807,2.497008644838999,-1.0,-1.0,-1.0,-1.0,6.370997421852518
229.0,2.5070260702519103,2.595255358770149,-1.0,-1.0,-1.0,-1.0,6.855564739698138
230.0,2.4622128358632707,2.628856364164782,-1.0,-1.0,-1.0,-1.0,6.524033809546075
231.0,2.4756019875469746,2.624165387791251,-1.0,-1.0,-1.0,-1.0,7.232648438686719
232.0,2.4610192269342295,2.5827787930422246,-1.0,-1.0,-1.0,-1.0,6.755347912742348
233.0,2.4077330627603555,2.508965170701405,-1.0,-1.0,-1.0,-1.0,7.249422169170611
234.0,2.314494753610167,2.4620453857174662,-1.0,-1.0,-1.0,-1.0,6.720947080302833
235.0,2.525969844719387,2.529275580144044,-1.0,-1.0,-1.0,-1.0,8.060519776026112
236.0,2.3977149057063607,2.5057521034336725,-1.0,-1.0,-1.0,-1.0,7.086902478736571
237.0,2.4151304180200164,2.513648152059733,-1.0,-1.0,-1.0,-1.0,6.919775429097083
238.0,2.212285207014352,2.4598154569951114,-1.0,-1.0,-1.0,-1.0,6.475746546815457
239.0,2.322834477879465,2.497178692779244,-1.0,-1.0,-1.0,-1.0,7.010169478038746
240.0,2.421726279777421,2.528578609494084,-1.0,-1.0,-1.0,-1.0,6.824758818957354
241.0,2.5489053272979683,2.601738398778876,-1.0,-1.0,-1.0,-1.0,7.176293399179285
242.0,2.5798771171039334,2.6098395404765746,-1.0,-1.0,-1.0,-1.0,7.341938291748704
243.0,2.5241449208880757,2.573094607553904,-1.0,-1.0,-1.0,-1.0,7.4627866742216495
244.0,2.375454541058867,2.4970046904574477,-1.0,-1.0,-1.0,-1.0,7.18161353620003
245.0,2.7102754420398827,2.7228516757837817,-1.0,-1.0,-1.0,-1.0,7.161110427829052
246.0,2.6981641571849813,2.731239970747912,-1.0,-1.0,-1.0,-1.0,6.631907819003668
247.0,2.497028143800841,2.651485233190908,-1.0,-1.0,-1.0,-1.0,5.766076068343298
248.0,2.497222966101205,2.5856987989263325,-1.0,-1.0,-1.0,-1.0,6.410996167104985
